"time","Out1","Out2","Out3","Out4"
0.402,0.736246,0.331019,0.319252,0
0.403,0.737197,0.331688,0.320245,0
0.404,0.738144,0.332356,0.321238,0
0.405,0.739089,0.333023,0.322231,0
0.406,0.74003,0.33369,0.323224,0
0.407,0.740968,0.334356,0.324217,0
0.408,0.741902,0.335021,0.32521,0
0.409,0.742834,0.335686,0.326204,0
0.41,0.743762,0.33635,0.327197,0
0.411,0.744687,0.337013,0.328191,0
0.412,0.745609,0.337676,0.329184,0
0.413,0.746527,0.338338,0.330178,0
0.414,0.747443,0.338999,0.331172,0
0.415,0.748355,0.33966,0.332166,0
0.416,0.749264,0.34032,0.333159,0
0.417,0.75017,0.340979,0.334153,0
0.418,0.751073,0.341638,0.335147,0
0.419,0.751972,0.342296,0.336142,0
0.42,0.752868,0.342953,0.337136,0
0.421,0.753762,0.34361,0.33813,0
0.422,0.754652,0.344266,0.339124,0
0.423,0.755539,0.344921,0.340119,0
0.424,0.756423,0.345576,0.341113,0
0.425,0.757303,0.34623,0.342108,0
0.426,0.758181,0.346884,0.343102,0
0.427,0.759055,0.347536,0.344097,0
0.428,0.759927,0.348189,0.345092,0
0.429,0.760795,0.34884,0.346086,0
0.43,0.76166,0.349491,0.347081,0
0.431,0.762522,0.350141,0.348076,0
0.432,0.763381,0.350791,0.349071,0
0.433,0.764237,0.35144,0.350066,0
0.434,0.76509,0.352088,0.351061,0
0.435,0.76594,0.352735,0.352057,0
0.436,0.766786,0.353382,0.353052,0
0.437,0.76763,0.354029,0.354047,0
0.438,0.768471,0.354674,0.355042,0
0.439,0.769308,0.355319,0.356038,0
0.44,0.770143,0.355964,0.357033,0
0.441,0.770974,0.356607,0.358029,0
0.442,0.771803,0.35725,0.359024,0
0.443,0.772628,0.357893,0.36002,0
0.444,0.77345,0.358535,0.361016,0
0.445,0.77427,0.359176,0.362011,0
0.446,0.775086,0.359816,0.363007,0
0.447,0.7759,0.360456,0.364003,0
0.448,0.77671,0.361095,0.364999,0
0.449,0.777517,0.361734,0.365995,0
0.45,0.778322,0.362372,0.366991,0
0.451,0.779123,0.363009,0.367987,0
0.452,0.779921,0.363646,0.368983,0
0.453,0.780717,0.364282,0.369979,0
0.454,0.781509,0.364917,0.370975,0
0.455,0.782299,0.365552,0.371971,0
0.456,0.783085,0.366186,0.372968,0
0.457,0.783869,0.36682,0.373964,0
0.458,0.78465,0.367453,0.37496,0
0.459,0.785427,0.368085,0.375957,0
0.46,0.786202,0.368716,0.376953,0
0.461,0.786974,0.369347,0.37795,0
0.462,0.787743,0.369978,0.378946,0
0.463,0.788509,0.370607,0.379943,0
0.464,0.789272,0.371236,0.380939,0
0.465,0.790032,0.371865,0.381936,0
0.466,0.790789,0.372493,0.382933,0
0.467,0.791544,0.37312,0.383929,0
0.468,0.792295,0.373746,0.384926,0
0.469,0.793044,0.374372,0.385923,0
0.47,0.79379,0.374998,0.38692,0
0.471,0.794532,0.375622,0.387917,0
0.472,0.795272,0.376246,0.388914,0
0.473,0.796009,0.37687,0.389911,0
0.474,0.796744,0.377493,0.390908,0
0.475,0.797475,0.378115,0.391905,0
0.476,0.798203,0.378737,0.392902,0
0.477,0.798929,0.379357,0.393899,0
0.478,0.799652,0.379978,0.394896,0
0.479,0.800372,0.380598,0.395893,0
0.48,0.801089,0.381217,0.396891,0
0.481,0.801803,0.381835,0.397888,0
0.482,0.802515,0.382453,0.398885,0
0.483,0.803223,0.38307,0.399882,0
0.484,0.803929,0.383687,0.40088,0
0.485,0.804632,0.384303,0.401877,0
0.486,0.805332,0.384918,0.402875,0
0.487,0.80603,0.385533,0.403872,0
0.488,0.806724,0.386147,0.40487,0
0.489,0.807416,0.386761,0.405867,0
0.49,0.808105,0.387374,0.406865,0
0.491,0.808791,0.387986,0.407862,0
0.492,0.809475,0.388598,0.40886,0
0.493,0.810156,0.389209,0.409857,0
0.494,0.810833,0.389819,0.410855,0
0.495,0.811509,0.390429,0.411853,0
0.496,0.812181,0.391038,0.41285,0
0.497,0.812851,0.391647,0.413848,0
0.498,0.813518,0.392255,0.414846,0
0.499,0.814182,0.392863,0.415844,0
0.5,0.814843,0.393469,0.416842,0
0.501,0.815502,0.394076,0.417839,0
0.502,0.816158,0.394681,0.418837,0
0.503,0.816811,0.395286,0.419835,0
0.504,0.817461,0.395891,0.420833,0
0.505,0.818109,0.396494,0.421831,0
0.506,0.818754,0.397098,0.422829,0
0.507,0.819397,0.3977,0.423827,0
0.508,0.820036,0.398302,0.424825,0
0.509,0.820673,0.398904,0.425823,0
0.51,0.821308,0.399504,0.426821,0
0.511,0.821939,0.400105,0.427819,0
0.512,0.822568,0.400704,0.428818,0
0.513,0.823194,0.401303,0.429816,0
0.514,0.823818,0.401902,0.430814,0
0.515,0.824439,0.402499,0.431812,0
0.516,0.825057,0.403097,0.43281,0
0.517,0.825672,0.403693,0.433809,0
0.518,0.826285,0.404289,0.434807,0
0.519,0.826895,0.404885,0.435805,0
0.52,0.827503,0.405479,0.436803,0
0.521,0.828108,0.406074,0.437802,0
0.522,0.82871,0.406667,0.4388,0
0.523,0.82931,0.40726,0.439798,0
0.524,0.829907,0.407853,0.440797,0
0.525,0.830501,0.408445,0.441795,0
0.526,0.831093,0.409036,0.442794,0
0.527,0.831682,0.409627,0.443792,0
0.528,0.832269,0.410217,0.444791,0
0.529,0.832853,0.410806,0.445789,0
0.53,0.833434,0.411395,0.446788,0
0.531,0.834013,0.411983,0.447786,0
0.532,0.834589,0.412571,0.448785,0
0.533,0.835162,0.413158,0.449783,0
0.534,0.835733,0.413745,0.450782,0
0.535,0.836302,0.414331,0.45178,0
0.536,0.836867,0.414916,0.452779,0
0.537,0.837431,0.415501,0.453778,0
0.538,0.837991,0.416085,0.454776,0
0.539,0.838549,0.416669,0.455775,0
0.54,0.839105,0.417252,0.456774,0
0.541,0.839658,0.417834,0.457772,0
0.542,0.840208,0.418416,0.458771,0
0.543,0.840756,0.418997,0.45977,0
0.544,0.841301,0.419578,0.460768,0
0.545,0.841844,0.420158,0.461767,0
0.546,0.842384,0.420738,0.462766,0
0.547,0.842922,0.421317,0.463765,0
0.548,0.843457,0.421895,0.464763,0
0.549,0.84399,0.422473,0.465762,0
0.55,0.84452,0.42305,0.466761,0
0.551,0.845048,0.423627,0.46776,0
0.552,0.845573,0.424203,0.468759,0
0.553,0.846095,0.424778,0.469758,0
0.554,0.846615,0.425353,0.470757,0
0.555,0.847133,0.425928,0.471755,0
0.556,0.847648,0.426502,0.472754,0
0.557,0.848161,0.427075,0.473753,0
0.558,0.848671,0.427647,0.474752,0
